CUL	LATITUDE	LONGITUDE	NAME
14341	38.033916	23.737403	ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ
14342	38.0452058	23.7422429	ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ
14343	38.0293616	23.7329608	ΝΕΑ ΧΑΛΚΗΔΟΝΑ
14451	38.0556442	23.7583685	ΜΕΤΑΜΟΡΦΩΣΗ
14452	38.0622969	23.7599103	ΜΕΤΑΜΟΡΦΩΣΗ
14561	38.0739486	23.8060457	ΣΤΑΘΜΟΣ ΗΣΑΠ ΚΗΦΙΣΙΑ
14562	38.0722402	23.8139199	ΚΗΦΙΣΙΑ
14563	38.0872794	23.8308952	ΚΗΦΙΣΙΑ ΠΟΛΙΤΕΙΑ
14564	38.0956293	23.7913435	ΚΗΦΙΣΙΑ ΝΕΑ ΚΗΦΗΣΙΑ
14565	38.141707	23.8586886	ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ
14568	38.1360707	23.8290729	ΚΡΥΟΝΕΡΙ
14569	38.1317568	23.8603199	ΑΝΟΙΞΗ
14572	38.119756	23.8661305	ΔΡΟΣΙΑ
14574	38.1167583	23.8760815	ΡΟΔΟΠΟΛΗ
14575	38.1261246	23.8707783	ΣΤΑΜΑΤΑ
14576	38.0987438	23.8790184	ΔΙΟΝΥΣΟΣ
14578	38.1008771	23.8350796	ΕΚΑΛΗ
14671	38.0926493	23.8200477	ΝΕΑ ΕΡΥΘΡΑΙΑ
15121	38.0529489	23.79056	ΠΕΥΚΗ Κ.ΠΕΥΚΗ
15122	38.0549562	23.807655	ΜΑΡΟΥΣΙ ΑΜΑΛΙΕΙΟ ΟΡΦ
15123	38.0314264	23.7853852	ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ
15124	38.0512581	23.8021097	ΜΑΡΟΥΣΙ
15125	38.0453	23.8203025	ΜΑΡΟΥΣΙ ΠΑΡΑΔΕΙΣΟΣ
15126	38.0563575	23.8259775	ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ
15127	38.0572295	23.8336016	ΜΕΛΙΣΣΙΑ
15231	38.0137595	23.7854066	ΧΑΛΑΝΔΡΙ ΑΓΙΑ ΒΑΡΒΑΡΑ
15232	38.020741	23.7959223	ΧΑΛΑΝΔΡΙ
15233	38.024942	23.79748	ΧΑΛΑΝΔΡΙ
15234	38.0265707	23.8198045	ΧΑΛΑΝΔΡΙ
15235	38.0329785	23.831904	ΒΡΙΛΗΣΣΙΑ
15236	38.0606091	23.8590907	ΠΕΝΤΕΛΗ ΝΕΑ ΠΕΝΤΕΛΗΟΡ
15237	38.0250988	23.7791452	ΦΙΛΟΘΕΗ
15238	38.0354686	23.8511229	ΧΑΛΑΝΔΡΙ
15341	38.0090444	23.8200341	ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ
15342	38.0077479	23.8252029	ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ
15343	38.0210263	23.8430443	ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΠΕΥΚΑΚΙ
15344	38.0230869	23.8724272	ΑΝΘΟΥΣΑ
15349	38.0230869	23.8724272	ΑΝΘΟΥΣΑ
15351	38.0035103	23.8835158	ΠΑΛΛΗΝΗ
15354	37.993481	23.848306	ΓΛΥΚΑ ΝΕΡΑ
15451	38.0049076	23.7785742	ΝΕΑ ΨΥΧΙΚΟ
15452	38.0114368	23.7770979	ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ
15561	38.0026476	23.7986048	ΧΟΛΑΡΓΟΣ ΝΑΟΣ ΦΑΝΕΡΩ
15562	38.0026476	23.7986048	ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ
15669	37.9885749	23.7965135	ΠΑΠΑΓΟΥ
15771	37.9743287	23.7736717	ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ
15772	37.9743287	23.7736717	ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ
15773	37.9807643	23.7708378	ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ
15780	41.1401978	25.3632924	ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ
16121	37.966955	23.7594267	ΚΑΙΣΑΡΙΑΝΗ ΓΗΠΕΔΑ ΝΗΑΡ ΗΣΤ
16122	37.9656684	23.7617788	ΚΑΙΣΑΡΙΑΝΗ ΑΝΩ ΚΑΙΣΑΡΙΑΝΗ
16231	37.9573636	23.7582564	ΒΥΡΩΝ ΝΕΑ ΕΛΒΕΤΙΑ
16232	37.9617869	23.7513958	ΒΥΡΩΝΑΣ
16233	37.9543661	23.7605118	ΒΥΡΩΝ ΖΩΟΔΟΧΟΣ ΠΗΓΗ
16341	37.9336901	23.7380213	ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ
16342	37.9239945	23.7629925	ΗΛΙΟΥΠΟΛΗ ΑΣΤΥΝΟΜΙΚΑ
16343	37.9461185	23.7445474	ΗΛΙΟΥΠΟΛΗ ΑΝΩ ΝΕΑ ΗΛΙΟΥΠΟΥΛΗ
16344	37.9461025	23.7533236	ΗΛΙΟΥΠΟΛΗ ΑΝΩ ΗΛΙΟΥΠΟΛΗ
16345	37.9766976	23.7838284	ΗΛΙΟΥΠΟΛΗ ΑΝΩ ΗΛΙΟΥΠΟΛΗ
16346	37.9336901	23.7380213	ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ
16451	37.9059632	23.753752	ΑΡΓΥΡΟΥΠΟΛΗ
16452	37.9093343	23.7408677	ΑΡΓΥΡΟΥΠΟΛΗ
16561	37.8650426	23.7550447	ΓΛΥΦΑΔΑ Α.ΓΛΥΦΑΔΑ
16562	37.8931223	23.7702	ΓΛΥΦΑΔΑ ΤΕΡΨΙΘΕΑ
16671	37.8190772	23.7597759	ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ
16672	37.8334351	23.802873	ΒΑΡΗ
16673	37.8523416	23.7724683	ΒΟΥΛΑ ΑΝΩ ΒΟΥΛΑ
16674	37.8619956	23.7541813	ΓΛΥΦΑΔΑ
16675	37.8640519	23.7454264	ΓΛΥΦΑΔΑ
16777	37.904557	23.7423393	ΕΛΛΗΝΙΚΟ ΑΓΙΑ ΠΑΡΑΣΚΕΥ
17121	37.9442881	23.7117556	ΝΕΑ ΣΜΥΡΝΗ ΓΗΠ.ΠΑΝΙΩΝΙ
