CUL	LONGITUDE	LATITUDE	NAME	Unnamed: 4
010384	26.093940	44.445270	Bucuresti	
010385	26.093940	44.445270	Bucuresti	
010386	26.093020	44.448280	Bucuresti	
010391	26.094810	44.444920	Bucuresti	
010392	26.094810	44.444920	Bucuresti	
010393	26.094810	44.444920	Bucuresti	
010394	26.094810	44.444920	Bucuresti	
010395	26.094810	44.444920	Bucuresti	
010401	26.092780	44.446110	Bucuresti	
010402	26.092780	44.446110	Bucuresti	
010403	26.092780	44.446110	Bucuresti	
010404	26.092780	44.446110	Bucuresti	
010405	26.092780	44.446110	Bucuresti	
010406	26.092780	44.446110	Bucuresti	
010407	26.092780	44.446110	Bucuresti	
010411	26.092780	44.446110	Bucuresti	
010412	26.092780	44.446110	Bucuresti	
010413	26.092780	44.446110	Bucuresti	
010414	26.092780	44.446110	Bucuresti	
010415	26.092780	44.446110	Bucuresti	
010416	26.092780	44.446110	Bucuresti	
010421	26.095110	44.448660	Bucuresti	
010422	26.095110	44.448660	Bucuresti	
010423	26.095110	44.448660	Bucuresti	
010424	26.095110	44.448660	Bucuresti	
010431	26.093720	44.447440	Bucuresti	
010432	26.093720	44.447440	Bucuresti	
010433	26.093720	44.447440	Bucuresti	
010434	26.093720	44.447440	Bucuresti	
010435	26.093720	44.447440	Bucuresti	
010436	26.093720	44.447440	Bucuresti	
010437	26.091680	44.447720	Bucuresti	
010441	26.090600	44.447970	Bucuresti	
010442	26.089110	44.448400	Bucuresti	
010443	26.089110	44.448400	Bucuresti	
010444	26.089110	44.448400	Bucuresti	
010445	26.089110	44.448400	Bucuresti	
010446	26.089110	44.448400	Bucuresti	
010447	26.089110	44.448400	Bucuresti	
010448	26.089310	44.449450	Bucuresti	
010449	26.089310	44.449450	Bucuresti	
010451	26.100820	44.442560	Bucuresti	
010452	26.100820	44.442560	Bucuresti	
010453	26.100820	44.442560	Bucuresti	
010454	26.100820	44.442560	Bucuresti	
010455	26.101370	44.443410	Bucuresti	
010456	26.101370	44.443410	Bucuresti	
010457	26.101370	44.443410	Bucuresti	
010458	26.101370	44.443410	Bucuresti	
010459	26.101370	44.443410	Bucuresti	
010461	26.100760	44.444150	Bucuresti	
010462	26.100760	44.444150	Bucuresti	
010463	26.100760	44.444150	Bucuresti	
010464	26.093020	44.448280	Bucuresti	
010465	26.098340	44.445950	Bucuresti	
010471	26.102800	44.443260	Bucuresti	
010472	26.102800	44.443260	Bucuresti	
010473	26.102800	44.443260	Bucuresti	
010474	26.102270	44.444120	Bucuresti	
010475	26.102270	44.444120	Bucuresti	
010476	26.102170	44.444760	Bucuresti	
010477	26.102170	44.444760	Bucuresti	
010478	26.093020	44.448280	Bucuresti	
010481	26.093020	44.448280	Bucuresti	
010482	26.093020	44.448280	Bucuresti	
010483	26.093020	44.448280	Bucuresti	
010484	26.093020	44.448280	Bucuresti	
010485	26.101430	44.446690	Bucuresti	
010486	26.093020	44.448280	Bucuresti	
010487	26.093020	44.448280	Bucuresti	
010491	26.102910	44.448780	Bucuresti	
010492	26.102910	44.448780	Bucuresti	
010493	26.102910	44.448780	Bucuresti	
010494	26.102910	44.448780	Bucuresti	
010495	26.102910	44.448780	Bucuresti	
010496	26.102910	44.448780	Bucuresti	
010497	26.102910	44.448780	Bucuresti	
010498	26.093020	44.448280	Bucuresti	
010501	26.102910	44.448780	Bucuresti	
010502	26.102910	44.448780	Bucuresti	
010503	26.102910	44.448780	Bucuresti	
010504	26.102910	44.448780	Bucuresti	
010505	26.102910	44.448780	Bucuresti	
010506	26.102910	44.448780	Bucuresti	
010507	26.102910	44.448780	Bucuresti	
010511	26.109400	44.447090	Bucuresti	
010512	26.109400	44.447090	Bucuresti	
010513	26.109400	44.447090	Bucuresti	
010514	26.109400	44.447090	Bucuresti	
010515	26.109400	44.447090	Bucuresti	
010516	26.109400	44.447090	Bucuresti	
010517	26.109400	44.447090	Bucuresti	
010518	26.109400	44.447090	Bucuresti	
010521	26.093020	44.448280	Bucuresti	
010522	26.007070	44.473710	Bucuresti	
010523	26.093020	44.448280	Bucuresti	
010524	26.093020	44.448280	Bucuresti	
010525	26.101660	44.448490	Bucuresti	
010526	26.101660	44.448490	Bucuresti	
010527	26.101140	44.448390	Bucuresti	
010528	26.101140	44.448390	Bucuresti	
010531	26.102120	44.449350	Bucuresti	
